OBJECTID,ADM0_NAME,DateOfDataEntry,cum_conf,NewCase,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,GUID,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
88,Algeria,2020-03-23T00:00:00.000Z,201,107,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
89,Algeria,2020-03-24T00:00:00.000Z,231,30,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
90,Algeria,2020-03-25T00:00:00.000Z,264,33,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
91,Algeria,2020-03-26T00:00:00.000Z,264,0,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
92,Algeria,2020-03-27T00:00:00.000Z,305,41,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
93,Algeria,2020-03-28T00:00:00.000Z,367,62,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
94,Algeria,2020-03-29T00:00:00.000Z,409,42,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
95,Algeria,2020-03-30T00:00:00.000Z,454,45,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
96,Algeria,2020-03-31T00:00:00.000Z,511,57,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
97,Algeria,2020-04-01T00:00:00.000Z,584,73,2.63236595,28.16335741,Algeria,74e60ac9-fe75-4273-9483-536bb1dd9f64,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
98,Andorra,2020-03-03T00:00:00.000Z,1,1,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
99,Andorra,2020-03-04T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
100,Andorra,2020-03-05T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
101,Andorra,2020-03-06T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
102,Andorra,2020-03-07T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
103,Andorra,2020-03-08T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
104,Andorra,2020-03-09T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
105,Andorra,2020-03-10T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
106,Andorra,2020-03-11T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
107,Andorra,2020-03-12T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
108,Andorra,2020-03-13T00:00:00.000Z,1,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
109,Andorra,2020-03-14T00:00:00.000Z,2,1,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
110,Andorra,2020-03-15T00:00:00.000Z,2,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
111,Andorra,2020-03-16T00:00:00.000Z,2,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
112,Andorra,2020-03-17T00:00:00.000Z,14,12,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
113,Andorra,2020-03-18T00:00:00.000Z,16,2,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
114,Andorra,2020-03-19T00:00:00.000Z,39,23,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
115,Andorra,2020-03-20T00:00:00.000Z,75,36,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
116,Andorra,2020-03-21T00:00:00.000Z,75,0,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
117,Andorra,2020-03-22T00:00:00.000Z,88,13,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
118,Andorra,2020-03-23T00:00:00.000Z,113,25,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
119,Andorra,2020-03-24T00:00:00.000Z,164,51,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
120,Andorra,2020-03-25T00:00:00.000Z,188,24,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
121,Andorra,2020-03-26T00:00:00.000Z,213,25,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
122,Andorra,2020-03-27T00:00:00.000Z,231,18,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
123,Andorra,2020-03-28T00:00:00.000Z,289,58,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
124,Andorra,2020-03-29T00:00:00.000Z,321,32,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
125,Andorra,2020-03-30T00:00:00.000Z,341,20,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
126,Andorra,2020-03-31T00:00:00.000Z,370,29,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
127,Andorra,2020-04-01T00:00:00.000Z,376,6,1.57568833,42.54858297,Andorra,066f0f3c-d111-4a65-afdd-5f86e5ac8ddc,安道尔,Andorre,Andorra,Андорра,أندورا
128,Angola,2020-03-22T00:00:00.000Z,2,2,17.54379621,-12.29575318,Angola,2a5aaf40-e526-4778-a1e2-204d26254d21,安哥拉,Angola,Angola,Ангола,أنغولا
129,Angola,2020-03-23T00:00:00.000Z,2,0,17.54379621,-12.29575318,Angola,2a5aaf40-e526-4778-a1e2-204d26254d21,安哥拉,Angola,Angola,Ангола,أنغولا
130,Angola,2020-03-24T00:00:00.000Z,2,0,17.54379621,-12.29575318,Angola,2a5aaf40-e526-4778-a1e2-204d26254d21,安哥拉,Angola,Angola,Ангола,أنغولا
131,Angola,2020-03-25T00:00:00.000Z,2,0,17.54379621,-12.29575318,Angola,2a5aaf40-e526-4778-a1e2-204d26254d21,安哥拉,Angola,Angola,Ангола,أنغولا
132,Angola,2020-03-26T00:00:00.000Z,2,0,17.54379621,-12.29575318,Angola,2a5aaf40-e526-4778-a1e2-204d26254d21,安哥拉,Angola,Angola,Ангола,أنغولا
